organism,regional_centre,antibiotic,year,susceptible_n,tested_n,susceptible_pct,source_report_year,source_table,source_url,extracted_date,reported_pct,computed_pct,flags
Escherichia coli,RC4,levofloxacin,2023,0,0,,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,,,"no_isolates_tested,pct_suppressed_in_source"
Escherichia coli,RC4,levofloxacin,2024,18,88,20.5,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,20.5,20.45,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC4,meropenem,2023,694,979,70.9,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,70.9,70.89,
Escherichia coli,RC4,meropenem,2024,126,317,39.7,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,39.7,39.75,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC4,piperacillin-tazobactam,2023,521,988,52.7,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,52.7,52.73,
Escherichia coli,RC4,piperacillin-tazobactam,2024,0,0,,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,,"no_isolates_tested,pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC5,amikacin,2023,271,306,88.6,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,88.6,88.56,
Escherichia coli,RC5,amikacin,2024,474,537,88.3,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,88.3,88.27,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC5,cefotaxime,2023,0,275,0.0,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,0.0,0.0,
Escherichia coli,RC5,cefotaxime,2024,4,516,0.8,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,0.8,0.78,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC5,ceftazidime,2023,1,23,,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,,4.35,pct_suppressed_in_source
Escherichia coli,RC5,ceftazidime,2024,0,1,,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,0.0,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC5,ciprofloxacin,2023,28,306,9.2,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,9.2,9.15,
Escherichia coli,RC5,ciprofloxacin,2024,52,537,9.7,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,9.7,9.68,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC5,ertapenem,2023,216,306,70.6,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,70.6,70.59,
Escherichia coli,RC5,ertapenem,2024,391,536,72.9,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,72.9,72.95,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC5,imipenem,2023,255,306,83.3,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,83.3,83.33,
Escherichia coli,RC5,imipenem,2024,428,537,79.7,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,79.7,79.7,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC5,levofloxacin,2023,0,1,,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,,0.0,pct_suppressed_in_source
